[2023-05-22 23:03:00,971] (set_logging:INFO) Files stored in "fspace-inference/wandb/run-bkz5jtf1/files".
[2023-05-22 23:03:01,651] (get_data_dir:DEBUG) Using default data directory from environment "/datasets".
Files already downloaded and verified
Files already downloaded and verified
[2023-05-22 23:03:03,312] (get_dataset:INFO) Loaded "cifar10".
[2023-05-22 23:03:03,388] (get_data_dir:DEBUG) Using default data directory from environment "/datasets".
Files already downloaded and verified
Files already downloaded and verified
[2023-05-22 23:03:04,858] (get_dataset:INFO) Loaded "cifar100".
[2023-05-22 23:24:16,464] (main:DEBUG) {'epoch': 19, 'acc': 0.6633999943733215, 'avg_nll': 1.135741114616394, 'avg_ent': 0.4929937422275543}
[2023-05-22 23:24:16,496] (full_eval_model:INFO) Computing train metrics...
[2023-05-22 23:24:32,667] (full_eval_model:DEBUG) {'acc': 0.6858199834823608, 'sel_acc': 85.9676513671875, 'avg_nll': 0.9951992034912109, 'avg_ent': 0.5451093912124634, 'ece': 0.12877531149187552}
[2023-05-22 23:24:32,667] (full_eval_model:INFO) Computing test metrics...
[2023-05-22 23:24:42,924] (full_eval_model:DEBUG) {'acc': 0.6633999943733215, 'sel_acc': 84.2768783569336, 'avg_nll': 1.135741114616394, 'avg_ent': 0.4929937422275543, 'ece': 0.16754031048631335}
[2023-05-22 23:24:44,747] (train_model:DEBUG) {'epoch': 20, 'batch_loss': 0.36157166957855225, 'ce_loss': 0.3569871485233307, 'reg_loss': 4584.52783203125}
[2023-05-22 23:24:58,164] (train_model:DEBUG) {'epoch': 20, 'batch_loss': 0.3126360774040222, 'ce_loss': 0.308451771736145, 'reg_loss': 4184.31005859375}
[2023-05-22 23:25:11,608] (train_model:DEBUG) {'epoch': 20, 'batch_loss': 0.34558019042015076, 'ce_loss': 0.34065771102905273, 'reg_loss': 4922.48291015625}
[2023-05-22 23:25:25,057] (train_model:DEBUG) {'epoch': 20, 'batch_loss': 0.38715487718582153, 'ce_loss': 0.38263142108917236, 'reg_loss': 4523.451171875}
[2023-05-22 23:25:38,999] (train_model:DEBUG) {'epoch': 21, 'batch_loss': 0.29690876603126526, 'ce_loss': 0.2918362021446228, 'reg_loss': 5072.57470703125}
[2023-05-22 23:25:52,456] (train_model:DEBUG) {'epoch': 21, 'batch_loss': 0.3568134307861328, 'ce_loss': 0.3523474931716919, 'reg_loss': 4465.9296875}
[2023-05-22 23:26:05,923] (train_model:DEBUG) {'epoch': 21, 'batch_loss': 0.36058470606803894, 'ce_loss': 0.35582491755485535, 'reg_loss': 4759.7783203125}
[2023-05-22 23:26:19,420] (train_model:DEBUG) {'epoch': 21, 'batch_loss': 0.5599158406257629, 'ce_loss': 0.5547680854797363, 'reg_loss': 5147.7587890625}
[2023-05-22 23:26:33,616] (train_model:DEBUG) {'epoch': 22, 'batch_loss': 0.3995424807071686, 'ce_loss': 0.39442959427833557, 'reg_loss': 5112.87939453125}
[2023-05-22 23:26:47,143] (train_model:DEBUG) {'epoch': 22, 'batch_loss': 0.3062366545200348, 'ce_loss': 0.30198854207992554, 'reg_loss': 4248.126953125}
[2023-05-22 23:27:00,662] (train_model:DEBUG) {'epoch': 22, 'batch_loss': 0.34770506620407104, 'ce_loss': 0.34316927194595337, 'reg_loss': 4535.779296875}
[2023-05-22 23:27:14,177] (train_model:DEBUG) {'epoch': 22, 'batch_loss': 0.5085533857345581, 'ce_loss': 0.5041972398757935, 'reg_loss': 4356.15380859375}
[2023-05-22 23:27:28,224] (train_model:DEBUG) {'epoch': 23, 'batch_loss': 0.41539061069488525, 'ce_loss': 0.41083014011383057, 'reg_loss': 4560.47021484375}
[2023-05-22 23:27:41,741] (train_model:DEBUG) {'epoch': 23, 'batch_loss': 0.40602490305900574, 'ce_loss': 0.40136563777923584, 'reg_loss': 4659.27099609375}
[2023-05-22 23:27:55,259] (train_model:DEBUG) {'epoch': 23, 'batch_loss': 0.4154673218727112, 'ce_loss': 0.4105679392814636, 'reg_loss': 4899.38525390625}
[2023-05-22 23:28:08,783] (train_model:DEBUG) {'epoch': 23, 'batch_loss': 0.3833502233028412, 'ce_loss': 0.3786223828792572, 'reg_loss': 4727.8291015625}
[2023-05-22 23:28:22,872] (train_model:DEBUG) {'epoch': 24, 'batch_loss': 0.43833157420158386, 'ce_loss': 0.4333708584308624, 'reg_loss': 4960.703125}
[2023-05-22 23:28:36,409] (train_model:DEBUG) {'epoch': 24, 'batch_loss': 0.22304287552833557, 'ce_loss': 0.2181778848171234, 'reg_loss': 4864.98779296875}
[2023-05-22 23:28:49,941] (train_model:DEBUG) {'epoch': 24, 'batch_loss': 0.2130197435617447, 'ce_loss': 0.20877452194690704, 'reg_loss': 4245.22412109375}
[2023-05-22 23:29:03,469] (train_model:DEBUG) {'epoch': 24, 'batch_loss': 0.3887453079223633, 'ce_loss': 0.38443320989608765, 'reg_loss': 4312.10986328125}
[2023-05-22 23:29:17,494] (train_model:DEBUG) {'epoch': 25, 'batch_loss': 0.4035044312477112, 'ce_loss': 0.39823436737060547, 'reg_loss': 5270.05224609375}
[2023-05-22 23:29:31,035] (train_model:DEBUG) {'epoch': 25, 'batch_loss': 0.28348779678344727, 'ce_loss': 0.27887725830078125, 'reg_loss': 4610.52685546875}
[2023-05-22 23:29:44,556] (train_model:DEBUG) {'epoch': 25, 'batch_loss': 0.3893396556377411, 'ce_loss': 0.384535014629364, 'reg_loss': 4804.650390625}
[2023-05-22 23:29:58,087] (train_model:DEBUG) {'epoch': 25, 'batch_loss': 0.43450140953063965, 'ce_loss': 0.4298223853111267, 'reg_loss': 4679.029296875}
[2023-05-22 23:30:12,109] (train_model:DEBUG) {'epoch': 26, 'batch_loss': 0.29765111207962036, 'ce_loss': 0.2932635545730591, 'reg_loss': 4387.57177734375}
